WKT;FID
"POINT (116.288818 40.032487)";1363
"POINT (116.290925 40.023445)";1364
"POINT (116.294853 40.023695)";1365
"POINT (116.297782 40.015485)";1366
"POINT (116.297782 40.015485)";1367
"POINT (116.309928 40.016978)";1368
"POINT (116.31131 40.01683)";1369
"POINT (116.310195 40.016463)";1370
"POINT (116.31268 40.011413)";1371
"POINT (116.31268 40.011413)";1372
"POINT (116.324457 40.012008)";1373
"POINT (116.324457 40.012008)";1374
"POINT (116.33078 40.004295)";1375
"POINT (116.331012 39.99847)";1376
"POINT (116.330807 39.991667)";1377
"POINT (116.334182 39.991763)";1378
"POINT (116.33443 39.985078)";1379
"POINT (116.33443 39.985078)";1380
"POINT (116.348167 39.985492)";1381
"POINT (116.348167 39.985492)";1382
"POINT (116.360017 39.985897)";1383
"POINT (116.360017 39.985897)";1384
"POINT (116.371843 39.986158)";1385
"POINT (116.371843 39.986158)";1386
"POINT (116.383797 39.986362)";1387
"POINT (116.387 39.985938)";1388
"POINT (116.387 39.985938)";1389
"POINT (116.387348 39.975998)";1390
"POINT (116.386953 39.975555)";1391
"POINT (116.38206 39.975452)";1392
"POINT (116.387577 39.975188)";1393
"POINT (116.387845 39.971872)";1394
"POINT (116.382757 39.971633)";1395
"POINT (116.3818 39.970728)";1396
"POINT (116.381082 39.967483)";1397
"POINT (116.381082 39.967483)";1398
"POINT (116.367645 39.966758)";1399
"POINT (116.367645 39.966758)";1400
"POINT (116.355872 39.966505)";1401
"POINT (116.355872 39.966505)";1402
"POINT (116.343895 39.966485)";1403
"POINT (116.334728 39.966548)";1404
"POINT (116.334728 39.966548)";1405
"POINT (116.323003 39.96657)";1406
"POINT (116.316673 39.966058)";1407
"POINT (116.327217 39.96612)";1408
"POINT (116.323435 39.972717)";1409
"POINT (116.327642 39.970303)";1410
"POINT (116.327595 39.973155)";1411
"POINT (116.33032 39.972498)";1412
"POINT (116.331058 39.969222)";1413
"POINT (116.33168 39.969318)";1414
"POINT (116.34852 39.85368)";1415
"POINT (116.34888 39.854022)";1416
"POINT (116.34874 39.85129)";1417
"POINT (116.352688 39.852215)";1418
"POINT (116.35894 39.853397)";1419
"POINT (116.361363 39.852723)";1420
"POINT (116.364075 39.853292)";1421
"POINT (116.364698 39.846917)";1422
"POINT (116.364547 39.845067)";1423
"POINT (116.362662 39.844737)";1424
"POINT (116.361445 39.844708)";1425
"POINT (116.357857 39.844377)";1426
"POINT (116.353673 39.84431)";1427
"POINT (116.353325 39.845003)";1428
"POINT (116.358093 39.844535)";1429
"POINT (116.35856 39.848712)";1430
"POINT (116.358348 39.849343)";1431
"POINT (116.358348 39.849343)";1432
"POINT (116.37057 39.84937)";1433
"POINT (116.380648 39.848065)";1434
"POINT (116.380695 39.84878)";1435
"POINT (116.380468 39.849723)";1436
"POINT (116.380455 39.851623)";1437
"POINT (116.380727 39.855348)";1438
"POINT (116.387818 39.855523)";1439
"POINT (116.388125 39.852388)";1440
"POINT (116.389632 39.852478)";1441
"POINT (116.390845 39.85149)";1442
"POINT (116.389132 39.852502)";1443
"POINT (116.388057 39.852915)";1444
"POINT (116.387935 39.855227)";1445
"POINT (116.387362 39.855425)";1446
"POINT (116.388013 39.858662)";1447
"POINT (116.385768 39.859427)";1448
"POINT (116.380648 39.859378)";1449
"POINT (116.380488 39.860582)";1450
"POINT (116.380488 39.860582)";1451
"POINT (116.380628 39.851467)";1452
"POINT (116.380535 39.84794)";1453
"POINT (116.379178 39.848305)";1454
"POINT (116.380603 39.84896)";1455
"POINT (116.380617 39.849468)";1456
"POINT (116.3806 39.850372)";1457
"POINT (116.379882 39.855838)";1458
"POINT (116.379882 39.855838)";1459
"POINT (116.367698 39.855905)";1460
"POINT (116.367698 39.855905)";1461
"POINT (116.35647 39.853263)";1462
"POINT (116.348628 39.851307)";1463
"POINT (116.348728 39.853803)";1464
"POINT (116.348442 39.854743)";1465
"POINT (116.34874 39.853808)";1466
"POINT (116.348332 39.854047)";1467
"POINT (116.34854 39.851383)";1468
"POINT (116.348108 39.851053)";1469
"POINT (116.348108 39.851053)";1470
"POINT (116.36012 39.853935)";1471
"POINT (116.36012 39.853935)";1472
"POINT (116.372992 39.855018)";1473
"POINT (116.372992 39.855018)";1474
"POINT (116.385303 39.855608)";1475
"POINT (116.385358 39.855617)";1476
"POINT (116.385358 39.855617)";1477
"POINT (116.397195 39.85563)";1478
"POINT (116.398633 39.855497)";1479
"POINT (116.400798 39.852445)";1480
"POINT (116.402093 39.85608)";1481
"POINT (116.40416 39.854053)";1482
"POINT (116.404048 39.85537)";1483
"POINT (116.404953 39.856702)";1484
"POINT (116.409117 39.855578)";1485
"POINT (116.409538 39.855577)";1486
"POINT (116.409538 39.855577)";1487
"POINT (116.410835 39.846262)";1488
"POINT (116.412408 39.839293)";1489
"POINT (116.412408 39.839293)";1490
"POINT (116.40826 39.830037)";1491
"POINT (116.40826 39.830037)";1492
"POINT (116.435832 39.864847)";1493
"POINT (116.438783 39.86452)";1494
"POINT (116.438927 39.862923)";1495
"POINT (116.433235 39.862717)";1496
"POINT (116.432817 39.864017)";1497
"POINT (116.434918 39.864437)";1498
"POINT (116.433747 39.864545)";1499
"POINT (116.430073 39.864683)";1500
"POINT (116.428872 39.86464)";1501
"POINT (116.427573 39.864855)";1502
"POINT (116.427068 39.86628)";1503
"POINT (116.427375 39.867137)";1504
"POINT (116.424008 39.866892)";1505
"POINT (116.424082 39.864762)";1506
"POINT (116.422657 39.864515)";1507
"POINT (116.41946 39.864488)";1508
"POINT (116.416337 39.864408)";1509
"POINT (116.415333 39.864968)";1510
"POINT (116.415217 39.865932)";1511
"POINT (116.415298 39.871682)";1512
"POINT (116.414687 39.871857)";1513
"POINT (116.415313 39.870492)";1514
"POINT (116.415068 39.864348)";1515
"POINT (116.407668 39.863932)";1516
"POINT (116.407643 39.861283)";1517
"POINT (116.407917 39.855593)";1518
"POINT (116.413733 39.856055)";1519
"POINT (116.415978 39.855807)";1520
"POINT (116.415622 39.86059)";1521
"POINT (116.424845 39.859975)";1522
"POINT (116.425088 39.86122)";1523
"POINT (116.424442 39.863988)";1524
"POINT (116.424442 39.863988)";1525
"POINT (116.438517 39.866293)";1526
"POINT (116.438465 39.864602)";1527
"POINT (116.437527 39.865055)";1528
"POINT (116.43628 39.863752)";1529
"POINT (116.432808 39.864992)";1530
"POINT (116.43392 39.868815)";1531
"POINT (116.438118 39.870383)";1532
"POINT (116.440282 39.879167)";1533
"POINT (116.440282 39.879167)";1534
"POINT (116.438623 39.888283)";1535
"POINT (116.437 39.897253)";1536
"POINT (116.430423 39.899227)";1537
"POINT (116.430423 39.899227)";1538
"POINT (116.429532 39.908262)";1539
"POINT (116.429532 39.908262)";1540
"POINT (116.42852 39.9177)";1541
"POINT (116.42852 39.9177)";1542
"POINT (116.42827 39.926802)";1543
"POINT (116.42827 39.926802)";1544
"POINT (116.427595 39.936083)";1545
"POINT (116.427595 39.936083)";1546
"POINT (116.427333 39.94528)";1547
"POINT (116.425982 39.948032)";1548
"POINT (116.414318 39.948198)";1549
"POINT (116.418437 39.94848)";1550
"POINT (116.418437 39.94848)";1551
"POINT (116.418952 39.958043)";1552
"POINT (116.41895 39.95877)";1553
"POINT (116.417587 39.958322)";1554
"POINT (116.416083 39.958592)";1555
"POINT (116.416253 39.95949)";1556
"POINT (116.41553 39.959412)";1557
"POINT (116.416028 39.959553)";1558
"POINT (116.415533 39.960363)";1559
"POINT (116.415455 39.960038)";1560
"POINT (116.415455 39.960038)";1561
"POINT (116.348183 39.849402)";1562
"POINT (116.348187 39.852137)";1563
"POINT (116.309683 39.98131)";1564
"POINT (116.314495 39.981278)";1565
"POINT (116.310258 39.98138)";1566
"POINT (116.31111 39.97577)";1567
"POINT (116.31385 39.968868)";1568
"POINT (116.314455 39.96719)";1569
"POINT (116.315488 39.965455)";1570
"POINT (116.324118 39.965822)";1571
"POINT (116.324118 39.965822)";1572
"POINT (116.336257 39.96607)";1573
"POINT (116.34653 39.965975)";1574
"POINT (116.34653 39.965975)";1575
"POINT (116.348733 39.956147)";1576
"POINT (116.348733 39.956147)";1577
"POINT (116.350077 39.947063)";1578
"POINT (116.350077 39.947063)";1579
"POINT (116.349322 39.937978)";1580
"POINT (116.349322 39.937978)";1581
"POINT (116.349698 39.928747)";1582
"POINT (116.349698 39.928747)";1583
"POINT (116.350007 39.919558)";1584
"POINT (116.350007 39.919558)";1585
"POINT (116.350403 39.910178)";1586
"POINT (116.350403 39.910178)";1587
"POINT (116.350382 39.901147)";1588
"POINT (116.350623 39.897878)";1589
"POINT (116.357045 39.897758)";1590
"POINT (116.357045 39.897758)";1591
"POINT (116.357262 39.888568)";1592
"POINT (116.35705 39.88819)";1593
"POINT (116.350362 39.888527)";1594
"POINT (116.350458 39.892378)";1595
"POINT (116.350427 39.888338)";1596
"POINT (116.343867 39.888798)";1597
"POINT (116.34387 39.890105)";1598
"POINT (116.342665 39.890477)";1599
"POINT (116.343353 39.897518)";1600
"POINT (116.34314 39.89656)";1601
"POINT (116.34314 39.89656)";1602
"POINT (116.330305 39.896112)";1603
"POINT (116.330305 39.896112)";1604
"POINT (116.318238 39.895887)";1605
"POINT (116.317828 39.895877)";1606
"POINT (116.317828 39.895877)";1607
"POINT (116.32739 39.890218)";1608
"POINT (116.330313 39.889557)";1609
"POINT (116.330313 39.889557)";1610
"POINT (116.313648 39.895872)";1611
"POINT (116.30527 39.896045)";1612
"POINT (116.30527 39.896045)";1613
"POINT (116.304278 39.905047)";1614
"POINT (116.304278 39.905047)";1615
"POINT (116.304188 39.914513)";1616
"POINT (116.304188 39.914513)";1617
"POINT (116.30414 39.923638)";1618
"POINT (116.30414 39.923638)";1619
"POINT (116.30411 39.93299)";1620
"POINT (116.30411 39.93299)";1621
"POINT (116.304087 39.942105)";1622
"POINT (116.304087 39.942105)";1623
"POINT (116.303467 39.951108)";1624
"POINT (116.303467 39.951108)";1625
"POINT (116.302537 39.960648)";1626
"POINT (116.302537 39.960648)";1627
"POINT (116.313732 39.96507)";1628
"POINT (116.313985 39.965155)";1629
"POINT (116.314807 39.966075)";1630
"POINT (116.311667 39.973913)";1631
"POINT (116.310892 39.974802)";1632
"POINT (116.306808 39.974738)";1633
"POINT (116.306413 39.978532)";1634
"POINT (116.415955 39.95974)";1635
"POINT (116.415923 39.95961)";1636
"POINT (116.309753 39.983062)";1637
"POINT (116.256658 39.974808)";1638
"POINT (116.310208 39.983412)";1639
"POINT (116.310135 39.984007)";1640
"POINT (116.309015 39.98433)";1641
"POINT (116.298915 39.984068)";1642
"POINT (116.297038 39.984302)";1643
"POINT (116.297038 39.984302)";1644
"POINT (116.286128 39.980985)";1645
"POINT (116.286128 39.980985)";1646
"POINT (116.278543 39.973967)";1647
"POINT (116.278543 39.973967)";1648
"POINT (116.268143 39.969015)";1649
"POINT (116.26741 39.968802)";1650
"POINT (116.268498 39.967463)";1651
"POINT (116.268082 39.965478)";1652
"POINT (116.269065 39.96494)";1653
"POINT (116.26904 39.964587)";1654
"POINT (116.270922 39.96521)";1655
"POINT (116.27094 39.966158)";1656
"POINT (116.27094 39.966158)";1657
"POINT (116.253882 39.96872)";1658
"POINT (116.25551 39.974507)";1659
"POINT (116.309138 39.983882)";1660
"POINT (116.255088 39.981593)";1661
"POINT (116.309137 39.983888)";1662
"POINT (116.307933 39.984082)";1663
"POINT (116.307965 39.983263)";1664
"POINT (116.30755 39.989585)";1665
"POINT (116.30755 39.989585)";1666
"POINT (116.308032 39.980532)";1667
"POINT (116.308113 39.976715)";1668
"POINT (116.308113 39.976715)";1669
"POINT (116.298488 39.98358)";1670
"POINT (116.294438 39.986742)";1671
"POINT (116.294438 39.986742)";1672
"POINT (116.256497 39.98071)";1673
"POINT (116.256357 39.98097)";1674
"POINT (116.2559 39.9818)";1675
"POINT (116.252147 39.980152)";1676
"POINT (116.255412 39.981577)";1677
"POINT (116.255818 39.980723)";1678
"POINT (116.249282 39.987912)";1679
"POINT (116.256152 39.980633)";1680
"POINT (116.255667 39.981465)";1681
"POINT (116.256888 39.9814)";1682
"POINT (116.256442 39.981447)";1683
"POINT (116.2555 39.980908)";1684
"POINT (116.319247 39.968745)";1685
"POINT (116.305813 39.978472)";1686
"POINT (116.319495 39.966517)";1687
"POINT (116.3164 39.966155)";1688
"POINT (116.3164 39.966155)";1689
"POINT (116.330067 39.966287)";1690
"POINT (116.330067 39.966287)";1691
"POINT (116.342427 39.966267)";1692
"POINT (116.346467 39.966137)";1693
"POINT (116.346467 39.966137)";1694
"POINT (116.348555 39.956695)";1695
"POINT (116.348555 39.956695)";1696
"POINT (116.35004 39.947185)";1697
"POINT (116.35004 39.947185)";1698
"POINT (116.349358 39.937777)";1699
"POINT (116.349358 39.937777)";1700
"POINT (116.350368 39.928725)";1701
"POINT (116.350368 39.928725)";1702
"POINT (116.34998 39.919403)";1703
"POINT (116.34998 39.919403)";1704
"POINT (116.350403 39.910155)";1705
"POINT (116.349872 39.90458)";1706
"POINT (116.35473 39.905705)";1707
"POINT (116.354562 39.904378)";1708
"POINT (116.352317 39.904442)";1709
"POINT (116.352173 39.905242)";1710
"POINT (116.351625 39.90739)";1711
"POINT (116.351698 39.905512)";1712
"POINT (116.353418 39.903758)";1713
"POINT (116.35676 39.904252)";1714
"POINT (116.356577 39.903497)";1715
"POINT (116.357267 39.90805)";1716
"POINT (116.359917 39.908027)";1717
"POINT (116.35984 39.906232)";1718
"POINT (116.351065 39.906162)";1719
"POINT (116.350507 39.912828)";1720
"POINT (116.350507 39.912828)";1721
"POINT (116.350008 39.922743)";1722
"POINT (116.350008 39.922743)";1723
"POINT (116.349662 39.932045)";1724
"POINT (116.349662 39.932045)";1725
"POINT (116.349693 39.941842)";1726
"POINT (116.349693 39.941842)";1727
"POINT (116.349097 39.951868)";1728
"POINT (116.349097 39.951868)";1729
"POINT (116.348638 39.961593)";1730
"POINT (116.348638 39.961593)";1731
"POINT (116.348062 39.972107)";1732
"POINT (116.348062 39.972107)";1733
"POINT (116.347565 39.981248)";1734
"POINT (116.347565 39.981248)";1735
"POINT (116.347112 39.990367)";1736
"POINT (116.346722 39.992095)";1737
"POINT (116.346722 39.992095)";1738
"POINT (116.334712 39.991718)";1739
"POINT (116.330958 39.991667)";1740
"POINT (116.330958 39.991667)";1741
"POINT (116.330952 40.00193)";1742
"POINT (116.330952 40.00193)";1743
"POINT (116.326828 40.010578)";1744
"POINT (116.323662 40.012953)";1745
"POINT (116.312342 40.011612)";1746
"POINT (116.312342 40.011612)";1747
"POINT (116.308085 40.020243)";1748
"POINT (116.308085 40.020243)";1749
"POINT (116.306187 40.030527)";1750
"POINT (116.304893 40.03534)";1751
"POINT (116.304893 40.03534)";1752
"POINT (116.299598 40.043738)";1753
"POINT (116.298413 40.045322)";1754
"POINT (116.297567 40.044867)";1755
"POINT (116.296855 40.045565)";1756
"POINT (116.29819 40.045868)";1757
"POINT (116.29819 40.045868)";1758
"POINT (116.30307 40.037483)";1759
"POINT (116.303713 40.036383)";1760
"POINT (116.303713 40.036383)";1761
"POINT (116.307133 40.027403)";1762
"POINT (116.307133 40.027403)";1763
"POINT (116.308292 40.01832)";1764
"POINT (116.308292 40.01832)";1765
"POINT (116.31251 40.008755)";1766
"POINT (116.312677 40.005322)";1767
"POINT (116.308968 40.003747)";1768
"POINT (116.308968 40.003747)";1769
"POINT (116.30925 39.994713)";1770
"POINT (116.309915 39.987568)";1771
"POINT (116.310068 39.985595)";1772
"POINT (116.310417 39.977375)";1773
"POINT (116.310415 39.97647)";1774
"POINT (116.311087 39.975433)";1775
"POINT (116.306805 39.9747)";1776
"POINT (116.306563 39.975883)";1777
"POINT (116.308905 39.981465)";1778
"POINT (116.307708 39.983245)";1779
"POINT (116.310728 39.98161)";1780
"POINT (116.310728 39.98161)";1781
"POINT (116.312665 39.972578)";1782
"POINT (116.315973 39.96561)";1783
"POINT (116.315973 39.96561)";1784
"POINT (116.328097 39.966137)";1785
"POINT (116.328097 39.966137)";1786
"POINT (116.340795 39.966232)";1787
"POINT (116.340795 39.966232)";1788
"POINT (116.353605 39.966323)";1789
"POINT (116.353605 39.966323)";1790
"POINT (116.366107 39.966512)";1791
"POINT (116.366107 39.966512)";1792
"POINT (116.379112 39.966778)";1793
"POINT (116.379112 39.966778)";1794
"POINT (116.392292 39.967097)";1795
"POINT (116.400688 39.967132)";1796
"POINT (116.400688 39.967132)";1797
"POINT (116.401617 39.958038)";1798
"POINT (116.401617 39.958038)";1799
"POINT (116.401918 39.948552)";1800
"POINT (116.40174 39.947185)";1801
"POINT (116.40174 39.947185)";1802
"POINT (116.414053 39.94796)";1803
"POINT (116.414053 39.94796)";1804
"POINT (116.426362 39.947742)";1805
"POINT (116.426362 39.947742)";1806
"POINT (116.427582 39.938468)";1807
"POINT (116.427582 39.938468)";1808
"POINT (116.42799 39.929038)";1809
"POINT (116.42792 39.924095)";1810
"POINT (116.428228 39.922672)";1811
"POINT (116.439903 39.921242)";1812
"POINT (116.440767 39.920802)";1813
"POINT (116.439728 39.923097)";1814
"POINT (116.438907 39.923148)";1815
"POINT (116.439822 39.922108)";1816
"POINT (116.428852 39.923358)";1817
"POINT (116.428852 39.923358)";1818
"POINT (116.42798 39.932523)";1819
"POINT (116.42798 39.932523)";1820
"POINT (116.42753 39.94237)";1821
"POINT (116.42662 39.947677)";1822
"POINT (116.42662 39.947677)";1823
"POINT (116.413072 39.948008)";1824
"POINT (116.413072 39.948008)";1825
"POINT (116.400983 39.947715)";1826
"POINT (116.400983 39.947715)";1827
"POINT (116.388303 39.947562)";1828
"POINT (116.388303 39.947562)";1829
"POINT (116.376557 39.94761)";1830
"POINT (116.37323 39.950648)";1831
"POINT (116.37323 39.950648)";1832
"POINT (116.373415 39.9604)";1833
"POINT (116.374708 39.967412)";1834
"POINT (116.375827 39.967153)";1835
"POINT (116.375827 39.967153)";1836
"POINT (116.362537 39.966498)";1837
"POINT (116.362537 39.966498)";1838
"POINT (116.349718 39.96637)";1839
"POINT (116.349718 39.96637)";1840
"POINT (116.33635 39.966293)";1841
"POINT (116.33635 39.966293)";1842
"POINT (116.324182 39.96615)";1843
"POINT (116.315148 39.965947)";1844
"POINT (116.311433 39.974707)";1845
"POINT (116.306932 39.974603)";1846
"POINT (116.30631 39.978398)";1847
"POINT (116.310393 39.981028)";1848
"POINT (116.310383 39.980402)";1849
"POINT (116.310383 39.980402)";1850
"POINT (116.31274 39.971343)";1851
"POINT (116.314307 39.967537)";1852
"POINT (116.31527 39.965632)";1853
"POINT (116.31527 39.965632)";1854
"POINT (116.328348 39.966292)";1855
"POINT (116.328348 39.966292)";1856
"POINT (116.341655 39.966333)";1857
"POINT (116.341655 39.966333)";1858
"POINT (116.354127 39.966333)";1859
"POINT (116.354127 39.966333)";1860
"POINT (116.36771 39.966655)";1861
"POINT (116.36771 39.966655)";1862
"POINT (116.380702 39.967018)";1863
"POINT (116.380702 39.967018)";1864
"POINT (116.392557 39.967392)";1865
"POINT (116.392557 39.967392)";1866
"POINT (116.404305 39.967687)";1867
"POINT (116.404305 39.967687)";1868
"POINT (116.418092 39.967965)";1869
"POINT (116.418092 39.967965)";1870
"POINT (116.430277 39.967802)";1871
"POINT (116.430277 39.967802)";1872
"POINT (116.439543 39.962087)";1873
"POINT (116.439543 39.962087)";1874
"POINT (116.448447 39.95614)";1875
"POINT (116.455523 39.949435)";1876
"POINT (116.455107 39.940048)";1877
"POINT (116.444118 39.939498)";1878
"POINT (116.444008 39.932522)";1879
"POINT (116.43782 39.932362)";1880
"POINT (116.437505 39.925695)";1881
"POINT (116.439867 39.925492)";1882
"POINT (116.43976 39.923103)";1883
"POINT (116.438812 39.92318)";1884
"POINT (116.439097 39.922208)";1885
"POINT (116.428658 39.923263)";1886
"POINT (116.428658 39.923263)";1887
"POINT (116.428042 39.93251)";1888
"POINT (116.428042 39.93251)";1889
"POINT (116.427588 39.942422)";1890
"POINT (116.427243 39.947057)";1891
"POINT (116.427243 39.947057)";1892
"POINT (116.415048 39.94816)";1893
"POINT (116.415048 39.94816)";1894
"POINT (116.401418 39.947733)";1895
"POINT (116.401418 39.947733)";1896
"POINT (116.389352 39.947668)";1897
"POINT (116.389352 39.947668)";1898
"POINT (116.377137 39.947712)";1899
"POINT (116.373367 39.950332)";1900
"POINT (116.373367 39.950332)";1901
"POINT (116.373335 39.959393)";1902
"POINT (116.374648 39.967368)";1903
"POINT (116.375737 39.96702)";1904
"POINT (116.375737 39.96702)";1905
"POINT (116.36382 39.966598)";1906
"POINT (116.36382 39.966598)";1907
"POINT (116.351987 39.966515)";1908
"POINT (116.351987 39.966515)";1909
"POINT (116.33917 39.966427)";1910
"POINT (116.33917 39.966427)";1911
"POINT (116.326983 39.966335)";1912
"POINT (116.315328 39.966002)";1913
"POINT (116.311367 39.974508)";1914
"POINT (116.307035 39.974637)";1915
"POINT (116.305843 39.978882)";1916
"POINT (116.307463 39.980358)";1917
"POINT (116.307307 39.981148)";1918
"POINT (116.310028 39.978568)";1919
"POINT (116.310178 39.976607)";1920
"POINT (116.3111 39.974938)";1921
"POINT (116.310577 39.97846)";1922
"POINT (116.310025 39.98406)";1923
"POINT (116.310025 39.98406)";1924
"POINT (116.296957 39.983925)";1925
"POINT (116.296957 39.983925)";1926
"POINT (116.28548 39.979983)";1927
"POINT (116.28548 39.979983)";1928
"POINT (116.27763 39.973143)";1929
"POINT (116.27763 39.973143)";1930
"POINT (116.268457 39.966103)";1931
"POINT (116.268457 39.966103)";1932
"POINT (116.269455 39.956578)";1933
"POINT (116.269455 39.956578)";1934
"POINT (116.268642 39.946633)";1935
"POINT (116.268642 39.946633)";1936
"POINT (116.268062 39.936307)";1937
"POINT (116.268062 39.936307)";1938
"POINT (116.268978 39.926902)";1939
"POINT (116.26873 39.92451)";1940
"POINT (116.26873 39.92451)";1941
"POINT (116.256907 39.92314)";1942
"POINT (116.256907 39.92314)";1943
"POINT (116.244802 39.92532)";1944
"POINT (116.244802 39.92532)";1945
"POINT (116.231458 39.923925)";1946
"POINT (116.231458 39.923925)";1947
"POINT (116.219645 39.923557)";1948
"POINT (116.219645 39.923557)";1949
"POINT (116.206575 39.923453)";1950
"POINT (116.206575 39.923453)";1951
"POINT (116.194718 39.92351)";1952
"POINT (116.191885 39.923378)";1953
"POINT (116.192322 39.92175)";1954
"POINT (116.192998 39.921895)";1955
"POINT (116.191955 39.922807)";1956
"POINT (116.192172 39.923537)";1957
"POINT (116.192172 39.923537)";1958
"POINT (116.204595 39.923428)";1959
"POINT (116.204595 39.923428)";1960
"POINT (116.218517 39.923452)";1961
"POINT (116.218517 39.923452)";1962
"POINT (116.230902 39.923743)";1963
"POINT (116.230902 39.923743)";1964
"POINT (116.242775 39.925855)";1965
"POINT (116.242775 39.925855)";1966
"POINT (116.254047 39.922915)";1967
"POINT (116.254047 39.922915)";1968
"POINT (116.266325 39.922697)";1969
"POINT (116.266325 39.922697)";1970
"POINT (116.268287 39.913288)";1971
"POINT (116.268287 39.913288)";1972
"POINT (116.26765 39.903693)";1973
"POINT (116.26765 39.903693)";1974
"POINT (116.267808 39.893928)";1975
"POINT (116.267808 39.893928)";1976
"POINT (116.268457 39.883707)";1977
"POINT (116.268457 39.883707)";1978
"POINT (116.27195 39.874355)";1979
"POINT (116.27195 39.874355)";1980
"POINT (116.277142 39.864802)";1981
"POINT (116.277142 39.864802)";1982
"POINT (116.276948 39.854092)";1983
"POINT (116.276948 39.854092)";1984
"POINT (116.277708 39.844078)";1985
"POINT (116.277708 39.844078)";1986
"POINT (116.28085 39.835383)";1987
"POINT (116.284112 39.829248)";1988
"POINT (116.284112 39.829248)";1989
"POINT (116.284085 39.819293)";1990
"POINT (116.284085 39.819293)";1991
"POINT (116.285535 39.810293)";1992
"POINT (116.286992 39.80679)";1993
"POINT (116.279625 39.804083)";1994
"POINT (116.284658 39.795838)";1995
"POINT (116.28407 39.795023)";1996
"POINT (116.284572 39.793837)";1997
"POINT (116.287132 39.79491)";1998
"POINT (116.284377 39.79386)";1999
"POINT (116.28397 39.795575)";2000
"POINT (116.284515 39.796368)";2001
"POINT (116.279713 39.803968)";2002
"POINT (116.286902 39.806777)";2003
"POINT (116.286902 39.806777)";2004
"POINT (116.284372 39.815637)";2005
"POINT (116.284372 39.815637)";2006
"POINT (116.28393 39.825118)";2007
"POINT (116.284833 39.830687)";2008
"POINT (116.284833 39.830687)";2009
"POINT (116.280347 39.839165)";2010
"POINT (116.280347 39.839165)";2011
"POINT (116.277698 39.848877)";2012
"POINT (116.277698 39.848877)";2013
"POINT (116.277122 39.859435)";2014
"POINT (116.277122 39.859435)";2015
"POINT (116.275027 39.869272)";2016
"POINT (116.275027 39.869272)";2017
"POINT (116.270347 39.8792)";2018
"POINT (116.270347 39.8792)";2019
"POINT (116.26813 39.889002)";2020
"POINT (116.26813 39.889002)";2021
"POINT (116.268098 39.899153)";2022
"POINT (116.268098 39.899153)";2023
"POINT (116.268133 39.909613)";2024
"POINT (116.268133 39.909613)";2025
"POINT (116.269132 39.918693)";2026
"POINT (116.269132 39.918693)";2027
"POINT (116.269168 39.92803)";2028
"POINT (116.269168 39.92803)";2029
"POINT (116.26816 39.938045)";2030
"POINT (116.26816 39.938045)";2031
"POINT (116.26912 39.94874)";2032
"POINT (116.26912 39.94874)";2033
"POINT (116.269423 39.958713)";2034
"POINT (116.269185 39.966447)";2035
"POINT (116.270422 39.967862)";2036
"POINT (116.270008 39.968497)";2037
"POINT (116.258682 39.969558)";2038
"POINT (116.258682 39.969558)";2039
"POINT (116.252217 39.977372)";2040
"POINT (116.251958 39.977807)";2041
"POINT (116.255612 39.98065)";2042
"POINT (116.25183 39.977713)";2043
"POINT (116.25183 39.977713)";2044
"POINT (116.258263 39.969802)";2045
"POINT (116.270137 39.968178)";2046
"POINT (116.269633 39.96707)";2047
"POINT (116.269613 39.968418)";2048
"POINT (116.269613 39.968418)";2049
"POINT (116.279025 39.973858)";2050
"POINT (116.279025 39.973858)";2051
"POINT (116.287038 39.981122)";2052
"POINT (116.287038 39.981122)";2053
"POINT (116.298415 39.983738)";2054
"POINT (116.307607 39.983743)";2055
"POINT (116.307607 39.983743)";2056
"POINT (116.309595 39.993028)";2057
"POINT (116.309595 39.993028)";2058
"POINT (116.309113 40.002435)";2059
"POINT (116.30996 40.004292)";2060
"POINT (116.31231 40.004877)";2061
"POINT (116.31231 40.004877)";2062
"POINT (116.312113 40.013922)";2063
"POINT (116.311528 40.017188)";2064
"POINT (116.311528 40.017188)";2065
"POINT (116.299472 40.015453)";2066
"POINT (116.297762 40.015505)";2067
"POINT (116.29524 40.023758)";2068
"POINT (116.306928 40.02517)";2069
"POINT (116.306703 40.026923)";2070
"POINT (116.303132 40.02432)";2071
"POINT (116.303132 40.02432)";2072
"POINT (116.291273 40.02335)";2073
"POINT (116.288833 40.03264)";2074
"POINT (116.286463 40.032877)";2075
"POINT (116.28571 40.037303)";2076
"POINT (116.286353 40.032997)";2077
"POINT (116.280753 40.032967)";2078
"POINT (116.280482 40.038942)";2079
"POINT (116.28173 40.03263)";2080
"POINT (116.288942 40.032295)";2081
"POINT (116.290927 40.02336)";2082
"POINT (116.2947 40.023688)";2083
"POINT (116.297925 40.015283)";2084
"POINT (116.297925 40.015283)";2085
"POINT (116.309978 40.017303)";2086
"POINT (116.311437 40.016842)";2087
"POINT (116.31034 40.016355)";2088
"POINT (116.31034 40.016355)";2089
"POINT (116.312648 40.007502)";2090
"POINT (116.312833 40.005998)";2091
"POINT (116.308978 40.003805)";2092
"POINT (116.308978 40.003805)";2093
"POINT (116.309277 39.993905)";2094
"POINT (116.310132 39.985177)";2095
"POINT (116.310248 39.982983)";2096
"POINT (116.308222 39.982672)";2097
"POINT (116.25575 39.98091)";2098
