WKT;FROM;TO;COUNT
"LINESTRING (116.268094 39.9357918392857,116.2447725 39.928699375)";194;163;1
"LINESTRING (116.288948333333 39.8769993333333,116.270246527473 39.8791411208791)";312;170;1
"LINESTRING (116.302449958333 39.9607090833333,116.28868 39.958520875)";94;41;1
"LINESTRING (116.855293 36.571827,116.855293 36.571827)";373;373;3
"LINESTRING (116.908888 36.323408,116.908888 36.323408)";396;396;4
"LINESTRING (116.268918876133 39.9658666676737,116.415438533333 39.9635857111111)";2;55;1
"LINESTRING (115.54547 39.641845,115.53269 39.643565)";558;559;1
"LINESTRING (116.315318166667 39.965145625,116.315031380952 39.9680074285715)";28;282;31
"LINESTRING (116.470779227273 39.9656509545455,116.46121468 39.97080078)";47;46;4
"LINESTRING (116.435070523809 39.8933174761905,116.427615962264 39.9090440943396)";17;15;3
"LINESTRING (116.190863 39.94921,116.179175 39.93872)";272;273;1
"LINESTRING (116.471724909091 40.0116418181818,116.471724909091 40.0116418181818)";59;59;39
"LINESTRING (116.401678728571 39.9476186142857,116.414287464286 39.9478471190476)";11;12;14
"LINESTRING (116.289481 40.0279941333333,116.278396785714 40.0169982142857)";135;134;1
"LINESTRING (116.342703785714 39.8706275714286,116.342911107143 39.8889555357143)";183;154;1
"LINESTRING (116.917642 39.131035,116.917642 39.131035)";574;574;1
"LINESTRING (116.37766391954 39.8543189770115,116.37766391954 39.8543189770115)";63;63;3630
"LINESTRING (115.52054 39.643977,115.504633 39.643083)";560;561;1
"LINESTRING (116.219081 39.9235045,116.205506 39.9231394)";165;166;1
"LINESTRING (116.297062166667 39.9721718333333,116.28624211236 39.9804746741573)";197;32;1
"LINESTRING (116.72544 39.9867725,116.715309 39.986286)";518;517;1
"LINESTRING (116.748517 36.864405,116.748517 36.864405)";347;347;2
"LINESTRING (116.3233866 39.8302350666667,116.3233866 39.8302350666667)";187;187;136
"LINESTRING (116.448875272727 40.0160478181818,116.448875272727 40.0160478181818)";86;86;76
"LINESTRING (117.960982666667 39.2079443333333,117.960982666667 39.2079443333333)";457;457;30
"LINESTRING (116.467243 37.247253,116.467243 37.247253)";321;321;3
"LINESTRING (115.955462 40.145345,115.955462 40.145345)";546;546;2
"LINESTRING (116.600345 39.979682,116.600345 39.979682)";524;524;10
"LINESTRING (116.402212 39.9777971,116.40101 39.9647426184211)";181;56;2
"LINESTRING (116.292279166667 39.9242433333333,116.2789917 39.9250884)";38;36;1
"LINESTRING (116.77978 36.815868,116.77978 36.815868)";352;352;4
"LINESTRING (116.426072125 39.98778325,116.426072125 39.98778325)";43;43;118
"LINESTRING (116.365228 39.998513,116.365228 39.998513)";262;262;204
"LINESTRING (116.3298651 40.0431146,116.3298651 40.0431146)";212;212;271
"LINESTRING (116.456628 37.266825,116.462577 37.257372)";319;320;1
"LINESTRING (116.268094 39.9357918392857,116.2789917 39.9250884)";194;36;2
"LINESTRING (116.268908093023 39.9254848488372,116.268094 39.9357918392857)";35;194;15
"LINESTRING (117.000813 36.190892,117.000813 36.190892)";410;410;2
"LINESTRING (116.304599222222 39.8826368333333,116.54881 39.770643)";476;505;1
"LINESTRING (116.304599222222 39.8826368333333,116.303877285714 39.9010203265306)";476;157;2
"LINESTRING (116.415438533333 39.9635857111111,116.414287464286 39.9478471190476)";55;12;4
"LINESTRING (116.471724909091 40.0116418181818,116.461338818182 40.0113193636364)";59;73;5
"LINESTRING (116.65168925 39.90385325,116.6511626 39.8905168)";495;496;1
"LINESTRING (117.901153 39.191095,117.922017 39.18537)";452;453;1
"LINESTRING (116.28624211236 39.9804746741573,116.28382908 39.99714532)";32;132;1
"LINESTRING (116.440321428571 39.9511815714286,116.4378966 39.9629636)";275;53;1
"LINESTRING (116.921037 39.119817,116.920952 39.108647)";576;577;1
"LINESTRING (116.2462265 39.9858138571429,116.231172625 39.988906625)";261;10;2
"LINESTRING (116.58791 39.977477,116.576103 39.977453)";525;526;1
"LINESTRING (116.268918876133 39.9658666676737,116.254102591054 39.979973798722)";2;0;3
"LINESTRING (116.4470478 39.956869075,116.455753485714 39.952497)";52;48;14
"LINESTRING (117.927783 39.242055,117.910865 39.254353)";458;459;1
"LINESTRING (116.917642 39.131035,116.921037 39.119817)";574;576;1
"LINESTRING (116.9237385 35.896899,116.9237385 35.896899)";314;314;8
"LINESTRING (116.3938988 39.8702661,116.400624857143 39.8653361428571)";207;259;2
"LINESTRING (116.453651191011 39.8857899101124,116.4551811 39.8716443)";18;19;4
"LINESTRING (116.325169916667 40.0553025,116.3298651 40.0431146)";213;212;1
"LINESTRING (116.974381666667 35.9164956666667,116.96452 35.905865)";436;437;1
"LINESTRING (116.23911 39.865608,116.23911 39.865608)";306;306;1
"LINESTRING (117.06283 36.109502,117.06887 36.099873)";419;420;1
"LINESTRING (116.285525714286 39.8957370714286,116.285525714286 39.8957370714286)";257;257;67
"LINESTRING (116.555695111111 39.7596238888889,116.467737 39.761618)";506;508;1
"LINESTRING (116.298414461538 39.9835601025641,116.28382908 39.99714532)";31;132;1
"LINESTRING (116.267997064516 39.895006172043,116.245303 39.890685)";169;304;1
"LINESTRING (117.992409 39.291926,117.992409 39.291926)";475;475;3
"LINESTRING (116.37505 39.94836856,116.372127275862 39.9582460689655)";67;7;8
"LINESTRING (116.49426 37.71558,116.48481 37.70824)";107;108;1
"LINESTRING (116.179175 39.93872,116.170383 39.926907)";273;274;1
"LINESTRING (116.310492363636 40.0161591515151,116.305990529412 40.0303576470588)";147;159;5
"LINESTRING (116.444242058824 39.9083433529412,116.427615962264 39.9090440943396)";21;15;2
"LINESTRING (116.3139875 39.84704375,116.3139875 39.84704375)";477;477;139
"LINESTRING (116.553655 39.828122,116.553655 39.828122)";298;298;1
"LINESTRING (117.1909448 40.0625568,117.1909448 40.0625568)";284;284;35
"LINESTRING (116.496657 39.910644,116.496657 39.910644)";503;503;87
"LINESTRING (116.335507025 39.98512485,116.327437847619 39.9666978380952)";3;27;1
"LINESTRING (115.55597 39.648048,115.54547 39.641845)";557;558;1
"LINESTRING (117.870159666667 39.2872353333333,117.865689333333 39.2961876666667)";463;464;1
"LINESTRING (116.4636992 40.0197524,116.461338818182 40.0113193636364)";69;73;1
"LINESTRING (116.304177793103 39.9314820344828,116.304177793103 39.9314820344828)";92;92;699
"LINESTRING (116.342703785714 39.8706275714286,116.342703785714 39.8706275714286)";183;183;205
"LINESTRING (116.5123 37.18023,116.5123 37.18023)";328;328;2
"LINESTRING (116.519682666667 40.0272502727273,116.529056433333 40.0434708)";72;80;4
"LINESTRING (116.935625 36.299133,116.935625 36.299133)";399;399;2
"LINESTRING (116.25913525 40.03737575,116.252317 40.0455)";139;140;2
"LINESTRING (116.258432 39.8666655,116.270246527473 39.8791411208791)";195;170;1
"LINESTRING (116.879337 36.646833,116.879337 36.646833)";366;366;4
"LINESTRING (116.440002207547 39.9220893773585,116.429208815217 39.9228586847826)";16;66;16
"LINESTRING (116.374649888889 39.887482,116.359767833333 39.8878836666667)";201;202;3
"LINESTRING (116.284396933333 40.0401374,116.27833475 40.0503854166667)";136;145;1
"LINESTRING (116.415306 39.9138635,116.426942714286 39.9229947857143)";49;14;1
"LINESTRING (116.672381714286 39.9849602857143,116.657705 39.985082)";514;519;1
"LINESTRING (116.738302 35.847455,116.738302 35.847455)";293;293;2
"LINESTRING (116.54881 39.770643,116.555695111111 39.7596238888889)";505;506;1
"LINESTRING (116.381014041667 39.8689290416667,116.37766391954 39.8543189770115)";199;63;1
"LINESTRING (116.268918876133 39.9658666676737,116.268094 39.9357918392857)";2;194;1
"LINESTRING (116.342703785714 39.8706275714286,116.356577527778 39.8642303055556)";183;204;2
"LINESTRING (116.444242058824 39.9083433529412,116.435070523809 39.8933174761905)";21;17;1
"LINESTRING (116.422955 37.30047,116.43062 37.29138)";315;316;1
"LINESTRING (116.310267666667 39.9929978,116.353173428571 40.0085871428571)";481;97;1
"LINESTRING (116.3805495 39.834501,116.3805495 39.834501)";587;587;106
"LINESTRING (116.498823 37.199558,116.498823 37.199558)";326;326;4
"LINESTRING (116.454895675325 39.9067917662338,116.464033740741 39.9109343703704)";20;276;6
"LINESTRING (116.5031908 40.0074897333333,116.493445545455 40.0009175454545)";78;77;4
"LINESTRING (116.284404550562 39.8262855617977,116.284235030769 39.8078846307692)";174;175;8
"LINESTRING (116.297456214286 40.0464142142857,116.305990529412 40.0303576470588)";160;159;2
"LINESTRING (116.65086 39.948768,116.657823 39.956292)";511;512;1
"LINESTRING (117.889513 39.269138,117.889513 39.269138)";461;461;3
"LINESTRING (116.660648111111 39.8823478888889,116.657053571429 39.8683008571429)";497;498;1
"LINESTRING (116.6552395 39.8545131666667,116.657053571429 39.8683008571429)";499;498;1
"LINESTRING (116.37661246988 39.9682206024096,116.388925102941 39.9672222205882)";123;24;17
"LINESTRING (116.48708 37.218777,116.48708 37.218777)";324;324;3
"LINESTRING (116.341562333333 39.92012675,116.325804535714 39.9260515357143)";255;90;1
"LINESTRING (116.368082285714 39.8703636428571,116.370950619048 39.840756)";258;192;1
"LINESTRING (116.310267666667 39.9929978,116.322367820513 39.9843652564103)";481;9;4
"LINESTRING (116.448913 37.27605,116.448913 37.27605)";318;318;3
"LINESTRING (116.298414461538 39.9835601025641,116.254102591054 39.979973798722)";31;0;1
"LINESTRING (116.890772 36.407318,116.894263 36.396065)";388;389;1
"LINESTRING (117.880662 39.276755,117.880662 39.276755)";462;462;3
"LINESTRING (116.399665387755 39.9869133265306,116.41318776 39.98786228)";29;42;7
"LINESTRING (116.307114 39.81300125,116.307114 39.81300125)";569;569;123
"LINESTRING (116.580152333333 39.9096043333333,116.588418 39.907813)";489;490;2
"LINESTRING (116.865153 36.473632,116.874243 36.465645)";382;383;1
"LINESTRING (116.3260368 40.0103684,116.310492363636 40.0161591515151)";148;147;1
"LINESTRING (116.339678 39.8391993333333,116.337321066667 39.8295884666667)";480;190;1
"LINESTRING (116.511297555556 40.015485,116.5031908 40.0074897333333)";79;78;4
"LINESTRING (116.388240929825 39.8548687719298,116.37766391954 39.8543189770115)";118;63;5
"LINESTRING (116.2744474 39.9559708,116.267746014286 39.9566036285714)";585;256;1
"LINESTRING (116.359767833333 39.8878836666667,116.359767833333 39.8878836666667)";202;202;603
"LINESTRING (116.419207521739 39.8560874347826,116.432392 39.8641791486487)";478;151;5
"LINESTRING (116.255477 39.9230275,116.255477 39.9230275)";162;162;10
"LINESTRING (116.335507025 39.98512485,116.347181411111 39.9847288666667)";3;4;18
"LINESTRING (116.8472015 36.558046,116.843738 36.543818)";374;375;1
"LINESTRING (116.48326575 40.00877525,116.48326575 40.00877525)";85;85;31
"LINESTRING (116.555695111111 39.7596238888889,116.555695111111 39.7596238888889)";506;506;95
"LINESTRING (116.233707 39.844983,116.233707 39.844983)";308;308;3
"LINESTRING (116.486167 40.018612,116.486167 40.018612)";57;57;58
"LINESTRING (115.54547 39.641845,115.54547 39.641845)";558;558;4
"LINESTRING (116.308754397059 39.9842966617647,116.322367820513 39.9843652564103)";65;9;12
"LINESTRING (116.277861505618 39.9736143146067,116.28624211236 39.9804746741573)";33;32;23
"LINESTRING (117.041223 36.147757,117.04595 36.138045)";415;416;1
"LINESTRING (117.992409 39.291926,116.254102591054 39.979973798722)";475;0;1
"LINESTRING (116.429208815217 39.9228586847826,116.426942714286 39.9229947857143)";66;14;23
"LINESTRING (116.34914044898 39.8526038095238,116.34914044898 39.8526038095238)";61;61;5282
"LINESTRING (117.981252 39.270652,117.995277 39.2675473333333)";473;474;1
"LINESTRING (116.388925102941 39.9672222205882,116.388641 39.9495479574468)";24;23;1
"LINESTRING (116.657053571429 39.8683008571429,116.657053571429 39.8683008571429)";498;498;171
"LINESTRING (116.415306 39.9138635,116.415306 39.9138635)";49;49;72
"LINESTRING (116.254102591054 39.979973798722,116.254102591054 39.979973798722)";0;0;12791
"LINESTRING (116.760465 36.844337,116.765655 36.833805)";349;350;1
"LINESTRING (116.900683 36.353313,116.901435 36.342722)";393;394;1
"LINESTRING (116.462577 37.257372,116.467243 37.247253)";320;321;1
"LINESTRING (116.822617 36.767755,116.832235 36.761288)";358;359;1
"LINESTRING (117.028925 36.166957,117.028925 36.166957)";413;413;2
"LINESTRING (116.588418 39.907813,116.588418 39.907813)";490;490;61
"LINESTRING (116.304278388889 39.9472257222222,116.298414461538 39.9835601025641)";93;31;1
"LINESTRING (116.28868 39.958520875,116.28868 39.958520875)";41;41;275
"LINESTRING (116.240737 40.05784,116.2321372 40.0706304)";225;143;1
"LINESTRING (116.9900035 36.214846,116.993908 36.199753)";408;409;1
"LINESTRING (116.363856 40.039167,116.363856 40.039167)";264;264;61
"LINESTRING (116.521823 40.05614375,116.537806944444 40.0552128333333)";583;81;1
"LINESTRING (116.267746014286 39.9566036285714,116.268918876133 39.9658666676737)";256;2;17
"LINESTRING (116.257807768421 39.9708023789474,116.265329 39.9861983333333)";96;449;1
"LINESTRING (116.449548775 39.980409425,116.449548775 39.980409425)";45;45;289
"LINESTRING (116.405893 40.0047616666667,116.400546222222 40.0014655555556)";536;535;1
"LINESTRING (116.28738368 39.93202304,116.303682 39.9186235588235)";39;158;1
"LINESTRING (116.765655 36.833805,116.772142 36.824188)";350;351;1
"LINESTRING (116.364468233333 39.9668944666667,116.373124736842 39.9677681578947)";124;6;16
"LINESTRING (116.279995744681 39.8392355106383,116.279995744681 39.8392355106383)";173;173;449
"LINESTRING (116.944213 36.292005,116.952252 36.283783)";400;401;1
"LINESTRING (116.96452 35.905865,116.96452 35.905865)";437;437;3
"LINESTRING (117.899615 39.262335,117.889513 39.269138)";460;461;1
"LINESTRING (116.440002207547 39.9220893773585,116.427119769231 39.9349231153846)";16;22;1
"LINESTRING (116.356577527778 39.8642303055556,116.34914044898 39.8526038095238)";204;61;1
"LINESTRING (116.432392 39.8641791486487,116.4490405 39.86224575)";151;205;2
"LINESTRING (117.995277 39.2675473333333,117.995277 39.2675473333333)";474;474;40
"LINESTRING (116.290449875 39.91392175,116.292279166667 39.9242433333333)";37;38;2
"LINESTRING (116.357861181818 39.8706965454545,116.368082285714 39.8703636428571)";203;258;3
"LINESTRING (116.576103 39.977453,116.576103 39.977453)";526;526;45
"LINESTRING (117.088303 36.071902,117.088303 36.071902)";423;423;3
"LINESTRING (116.362986122807 39.8536364210526,116.356577527778 39.8642303055556)";64;204;2
"LINESTRING (116.773448666667 35.8059736666667,116.776139375 35.8054900625)";288;95;5
"LINESTRING (116.481234846154 39.9545927692308,116.470779227273 39.9656509545455)";217;47;4
"LINESTRING (116.342703785714 39.8706275714286,116.328367 39.866858)";183;184;1
"LINESTRING (116.257807768421 39.9708023789474,116.268918876133 39.9658666676737)";96;2;26
"LINESTRING (116.206698 40.125274,116.206698 40.125274)";229;229;2
"LINESTRING (116.4709776 39.9784937,116.4709776 39.9784937)";74;74;120
"LINESTRING (116.250259272727 40.0484632727273,116.250259272727 40.0484632727273)";141;141;13
"LINESTRING (116.347181411111 39.9847288666667,116.339034197802 39.9664637692308)";4;26;2
"LINESTRING (116.46121468 39.97080078,116.46121468 39.97080078)";46;46;509
"LINESTRING (116.440002207547 39.9220893773585,116.42667985 39.946457125)";16;13;1
"LINESTRING (117.041223 36.147757,117.041223 36.147757)";415;415;4
"LINESTRING (116.4153426 39.9763824,116.4153426 39.9763824)";224;224;142
"LINESTRING (116.979938 36.249832,116.979938 36.249832)";405;405;3
"LINESTRING (116.4490405 39.86224575,116.4551811 39.8716443)";205;19;1
"LINESTRING (116.303877285714 39.9010203265306,116.315401307692 39.9077855384615)";157;208;3
"LINESTRING (116.8097425 38.455831,116.805875 38.44053)";580;581;1
"LINESTRING (116.139323 40.07978,116.139323 40.07978)";254;254;1
"LINESTRING (116.2972052 40.0159648,116.305990529412 40.0303576470588)";146;159;1
"LINESTRING (116.486167 40.018612,116.48326575 40.00877525)";57;85;1
"LINESTRING (116.462062757576 39.8854745151515,116.454719222222 39.9001348888889)";206;566;1
"LINESTRING (116.3394484 39.90609,116.351273485714 39.9058961428571)";210;128;1
"LINESTRING (116.337081 39.849748625,115.582097 39.657448)";121;555;1
"LINESTRING (116.500330727273 40.0231155454546,116.498702 40.040253)";71;550;1
"LINESTRING (116.791548 36.79816,116.791548 36.79816)";354;354;3
"LINESTRING (116.315401307692 39.9077855384615,116.315318166667 39.965145625)";208;28;1
"LINESTRING (117.955992 39.278255,117.969065 39.274287)";471;472;1
"LINESTRING (116.499597 39.992117,116.493445545455 40.0009175454545)";533;77;1
"LINESTRING (116.322367820513 39.9843652564103,116.310267666667 39.9929978)";9;481;1
"LINESTRING (116.231172625 39.988906625,116.231172625 39.988906625)";10;10;20
"LINESTRING (116.720412 36.900483,116.720412 36.900483)";343;343;2
"LINESTRING (116.284235030769 39.8078846307692,116.284235030769 39.8078846307692)";175;175;1803
"LINESTRING (116.268918876133 39.9658666676737,116.267746014286 39.9566036285714)";2;256;21
"LINESTRING (116.360963042553 39.9858189787234,116.364468233333 39.9668944666667)";8;124;1
"LINESTRING (116.284404550562 39.8262855617977,116.268918876133 39.9658666676737)";174;2;1
"LINESTRING (116.2447725 39.928699375,116.255477 39.9230275)";163;162;1
"LINESTRING (116.523812 39.8686025,116.523812 39.8686025)";442;442;7
"LINESTRING (116.86059 36.580813,116.86059 36.580813)";372;372;4
"LINESTRING (116.265329 39.9861983333333,116.254183384615 39.9925463076923)";449;260;2
"LINESTRING (116.277861505618 39.9736143146067,116.297062166667 39.9721718333333)";33;197;1
"LINESTRING (116.255378 39.9468766666667,116.255378 39.9468766666667)";568;568;221
"LINESTRING (116.391917 39.842422,116.391917 39.842422)";554;554;1
"LINESTRING (116.552127 39.975718,116.536721 39.9728853333333)";528;529;1
"LINESTRING (116.297062166667 39.9721718333333,116.297062166667 39.9721718333333)";197;197;261
"LINESTRING (116.427615962264 39.9090440943396,116.429208815217 39.9228586847826)";15;66;7
"LINESTRING (116.37602 39.961487,116.37602 39.961487)";572;572;158
"LINESTRING (116.993908 36.199753,117.000813 36.190892)";409;410;1
"LINESTRING (116.277861505618 39.9736143146067,116.2744474 39.9559708)";33;585;1
"LINESTRING (117.048309666667 35.9379593333333,117.048309666667 35.9379593333333)";434;434;45
"LINESTRING (116.2983033 39.8301241,116.309784315789 39.8290561578947)";189;188;4
"LINESTRING (116.362986122807 39.8536364210526,116.362986122807 39.8536364210526)";64;64;1534
"LINESTRING (116.201797 40.139663,116.201797 40.139663)";230;230;2
"LINESTRING (116.896957 36.375273,116.896957 36.375273)";391;391;4
"LINESTRING (116.442877410256 39.8754710512821,116.442877410256 39.8754710512821)";152;152;1504
"LINESTRING (116.952252 36.283783,116.959277 36.276263)";401;402;1
"LINESTRING (117.092563 36.038433,117.092563 36.038433)";426;426;2
"LINESTRING (116.316090222222 39.8968718888889,116.316090222222 39.8968718888889)";156;156;407
"LINESTRING (116.2744474 39.9559708,116.2744474 39.9559708)";585;585;294
"LINESTRING (116.308754397059 39.9842966617647,116.308754397059 39.9842966617647)";65;65;7033
"LINESTRING (117.957427 39.195585,117.957427 39.195585)";456;456;26
"LINESTRING (116.483527625 39.872547625,116.483527625 39.872547625)";222;222;114
"LINESTRING (116.289481 40.0279941333333,116.284396933333 40.0401374)";135;136;1
"LINESTRING (116.2653435 40.0478975,116.2653435 40.0478975)";144;144;27
"LINESTRING (117.0758265 35.93292675,117.0758265 35.93292675)";435;435;62
"LINESTRING (116.335507025 39.98512485,116.326499935484 39.9939092580645)";3;87;1
"LINESTRING (116.267997064516 39.895006172043,116.268289040404 39.910758979798)";169;168;13
"LINESTRING (116.660785 37.013287,116.660785 37.013287)";332;332;2
"LINESTRING (116.365228 39.998513,116.373193 39.986866875)";262;277;2
"LINESTRING (116.315031380952 39.9680074285715,116.268918876133 39.9658666676737)";282;2;1
"LINESTRING (116.401678728571 39.9476186142857,116.388641 39.9495479574468)";11;23;16
"LINESTRING (116.309084690307 39.9790180756501,116.399665387755 39.9869133265306)";1;29;1
"LINESTRING (116.551232590909 40.0767693636364,116.5476484375 40.0627369375)";83;82;3
"LINESTRING (116.46121468 39.97080078,116.4709776 39.9784937)";46;74;4
"LINESTRING (116.258432 39.8666655,116.258432 39.8666655)";195;195;214
"LINESTRING (116.908888 36.323408,116.917675 36.314257)";396;397;1
"LINESTRING (116.316090222222 39.8968718888889,116.329107826087 39.8951490434783)";156;155;3
"LINESTRING (116.348889108108 39.9241877567568,116.341562333333 39.92012675)";127;255;1
"LINESTRING (116.415438533333 39.9635857111111,116.486167 40.018612)";55;57;1
"LINESTRING (116.471724909091 40.0116418181818,116.465008857143 40.0007138571429)";59;58;1
"LINESTRING (116.308754397059 39.9842966617647,116.315031380952 39.9680074285715)";65;282;1
"LINESTRING (116.32441775 39.8460185,116.3139875 39.84704375)";122;477;3
"LINESTRING (116.536721 39.9728853333333,116.536721 39.9728853333333)";529;529;132
"LINESTRING (117.902243 39.291758,117.915877 39.288918)";467;468;1
"LINESTRING (116.219081 39.9235045,116.219081 39.9235045)";165;165;9
"LINESTRING (116.415907857143 39.8442442857143,116.40826 39.830037)";149;150;1
"LINESTRING (116.506342 39.984192,116.499597 39.992117)";532;533;1
"LINESTRING (116.429208815217 39.9228586847826,116.440002207547 39.9220893773585)";66;16;16
"LINESTRING (116.512662 39.976305,116.512662 39.976305)";531;531;6
"LINESTRING (116.365669 39.9369425,116.365669 39.9369425)";198;198;1
"LINESTRING (116.859675 36.483113,116.865153 36.473632)";381;382;1
"LINESTRING (116.415438533333 39.9635857111111,116.427469941176 39.9686446470588)";55;54;11
"LINESTRING (116.454895675325 39.9067917662338,116.454895675325 39.9067917662338)";20;20;1665
"LINESTRING (116.302709818182 39.8383015454545,116.292334714286 39.8392847142857)";117;446;2
"LINESTRING (116.278396785714 40.0169982142857,116.278396785714 40.0169982142857)";134;134;295
"LINESTRING (116.28624211236 39.9804746741573,116.298414461538 39.9835601025641)";32;31;24
"LINESTRING (116.254102591054 39.979973798722,116.246297 39.970137)";0;573;2
"LINESTRING (116.405893 40.0047616666667,116.41318776 39.98786228)";536;42;1
"LINESTRING (116.77978 36.815868,116.785853 36.807255)";352;353;1
"LINESTRING (116.426072125 39.98778325,116.41318776 39.98786228)";43;42;10
"LINESTRING (116.278396785714 40.0169982142857,116.289481 40.0279941333333)";134;135;3
"LINESTRING (116.470779227273 39.9656509545455,116.481234846154 39.9545927692308)";47;217;4
"LINESTRING (116.3298651 40.0431146,116.325169916667 40.0553025)";212;213;2
"LINESTRING (115.478198 39.639545,115.463995 39.638545)";563;564;1
"LINESTRING (116.556712 40.108236,116.5646939 40.1171991)";537;538;1
"LINESTRING (116.442462272727 39.932975,116.440321428571 39.9511815714286)";99;275;1
"LINESTRING (116.2462265 39.9858138571429,116.254102591054 39.979973798722)";261;0;8
"LINESTRING (116.337321066667 39.8295884666667,116.337321066667 39.8295884666667)";190;190;51
"LINESTRING (116.427615962264 39.9090440943396,116.415306 39.9138635)";15;49;1
"LINESTRING (116.386213394737 39.9866306315789,116.399665387755 39.9869133265306)";30;29;7
"LINESTRING (116.362986122807 39.8536364210526,116.34914044898 39.8526038095238)";64;61;12
"LINESTRING (115.970252 40.143847,115.955462 40.145345)";545;546;1
"LINESTRING (116.268908093023 39.9254848488372,116.268908093023 39.9254848488372)";35;35;409
"LINESTRING (116.362849 39.94657075,116.362849 39.94657075)";182;182;51
"LINESTRING (116.87875 36.658383,116.879337 36.646833)";365;366;1
"LINESTRING (116.4470478 39.956869075,116.440321428571 39.9511815714286)";52;275;2
"LINESTRING (116.469517 37.689237,116.46592 37.677848)";110;111;1
"LINESTRING (116.440321428571 39.9511815714286,116.4470478 39.956869075)";275;52;2
"LINESTRING (116.58791 39.977477,116.58791 39.977477)";525;525;31
"LINESTRING (116.455579614035 39.9288034210526,116.4685592 39.9336904)";50;281;1
"LINESTRING (116.4636992 40.0197524,116.475244 40.0206293333333)";69;70;1
"LINESTRING (116.268918876133 39.9658666676737,116.309084690307 39.9790180756501)";2;1;1
"LINESTRING (116.415438533333 39.9635857111111,116.415438533333 39.9635857111111)";55;55;3095
"LINESTRING (116.496657 39.910644,116.483847173913 39.9208502173913)";503;219;1
"LINESTRING (115.449378 39.638097,115.432997 39.63623)";565;547;1
"LINESTRING (116.889422 36.418475,116.889422 36.418475)";387;387;4
"LINESTRING (116.888042 36.429157,116.888042 36.429157)";386;386;4
"LINESTRING (116.377587571429 40.0008867142857,116.365228 39.998513)";279;262;1
"LINESTRING (116.277861505618 39.9736143146067,116.268918876133 39.9658666676737)";33;2;22
"LINESTRING (116.250259272727 40.0484632727273,116.240737 40.05784)";141;225;2
"LINESTRING (116.304278388889 39.9472257222222,116.28632975 39.9475295)";93;40;1
"LINESTRING (116.4689685 39.948495,116.455753485714 39.952497)";280;48;1
"LINESTRING (116.4685592 39.9336904,116.4685592 39.9336904)";281;281;78
"LINESTRING (116.23911 39.865608,116.23646 39.854828)";306;307;1
"LINESTRING (116.776139375 35.8054900625,116.773448666667 35.8059736666667)";95;288;7
"LINESTRING (116.451152 39.991997,116.449548775 39.980409425)";584;45;2
"LINESTRING (115.463995 39.638545,115.449378 39.638097)";564;565;1
"LINESTRING (116.898252 36.364433,116.898252 36.364433)";392;392;3
"LINESTRING (116.363679666667 39.96311,116.37602 39.961487)";571;572;1
"LINESTRING (116.179175 39.93872,116.179175 39.93872)";273;273;5
"LINESTRING (116.553655 39.828122,116.565232 39.825513)";298;299;1
"LINESTRING (117.1909448 40.0625568,117.18036375 40.07230575)";284;285;1
"LINESTRING (116.268918876133 39.9658666676737,116.257807768421 39.9708023789474)";2;96;18
"LINESTRING (116.297456214286 40.0464142142857,116.297456214286 40.0464142142857)";160;160;283
"LINESTRING (116.455753485714 39.952497,116.456198229167 39.9416057291667)";48;51;9
"LINESTRING (116.17845 39.974295,116.17845 39.974295)";179;179;1
"LINESTRING (116.364468233333 39.9668944666667,116.351158732143 39.9664790446429)";124;25;20
"LINESTRING (116.550364 39.867561,116.550364 39.867561)";444;444;48
"LINESTRING (116.388240929825 39.8548687719298,116.34914044898 39.8526038095238)";118;61;1
"LINESTRING (116.801723 38.431193,116.795741 38.41881)";582;579;1
"LINESTRING (116.432392 39.8641791486487,116.415743490909 39.8636931090909)";151;120;6
"LINESTRING (116.486598333333 39.9909226666667,116.486598333333 39.9909226666667)";76;76;86
"LINESTRING (116.564036 39.9107014,116.5495682 39.910631)";488;487;1
"LINESTRING (116.731482 35.855005,116.722615 35.862228)";294;295;1
"LINESTRING (115.582097 39.657448,115.56808 39.654438)";555;556;1
"LINESTRING (116.34914044898 39.8526038095238,116.304599222222 39.8826368333333)";61;476;1
"LINESTRING (116.322367820513 39.9843652564103,116.327437847619 39.9666978380952)";9;27;2
"LINESTRING (116.5495682 39.910631,116.5361555 39.908975375)";487;486;1
"LINESTRING (116.427615962264 39.9090440943396,116.444242058824 39.9083433529412)";15;21;2
"LINESTRING (116.635077 37.040217,116.635077 37.040217)";329;329;1
"LINESTRING (116.292279166667 39.9242433333333,116.303682 39.9186235588235)";38;158;2
"LINESTRING (116.550364 39.867561,116.5362675 39.8681225)";444;443;1
"LINESTRING (116.338541409091 40.0628965454545,116.3508475 40.072761)";214;266;1
"LINESTRING (116.257807768421 39.9708023789474,116.257807768421 39.9708023789474)";96;96;2856
"LINESTRING (116.4490405 39.86224575,116.4490405 39.86224575)";205;205;171
"LINESTRING (116.373124736842 39.9677681578947,116.373124736842 39.9677681578947)";6;6;719
"LINESTRING (116.894263 36.396065,116.896533 36.38612)";389;390;1
"LINESTRING (116.551833931034 40.0937027241379,116.551833931034 40.0937027241379)";84;84;387
"LINESTRING (116.54881 39.770643,116.54881 39.770643)";505;505;3
"LINESTRING (116.454719222222 39.9001348888889,116.462062757576 39.8854745151515)";566;206;1
